StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,attn_1,attn_2,dv_identity,dv_entitlement,comp_q,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,Q30,Q31,RandomID,cond,FL_8_DO
5/22/24 14:10,5/22/24 14:11,IP Address,67.20.237.116,100,73,TRUE,5/22/24 14:11,R_5tyVmy4T2OHD7oZ,,,,,40.6217,-79.9431,anonymous,EN,Yes,Paul,Purple,,I am not sure.,Teletransportation,Female,,White or European,,32,College Graduate (4 year),,ALCVGNUURF8LQ,50590,50590,2,FL_11
5/22/24 14:20,5/22/24 14:31,IP Address,71.206.197.61,100,657,TRUE,5/22/24 14:31,R_5dRpcqneMcMutfC,,,,,40.3052,-79.5418,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Male,,White or European,,39,College Graduate (4 year),,A3I1W58P6SIV26,620781,620781,1,FL_10
5/22/24 19:28,5/22/24 19:32,IP Address,24.185.179.250,100,210,TRUE,5/22/24 19:32,R_1rJpl2oaoXfMGW8,,,,,41.2301,-74.5963,anonymous,EN,Yes,Paul,Purple,,Both persons.,Teletransportation,Male,,White or European,,36,College Graduate (4 year),,A39C1BN9ZSQ0R2,288602,288602,2,FL_11
5/22/24 19:31,5/22/24 19:34,IP Address,76.155.6.53,100,146,TRUE,5/22/24 19:34,R_6hnACd9upFtVt9z,,,,,39.869,-104.9767,anonymous,EN,Yes,Paul,Purple,,Both persons.,Teletransportation,Male,,White or European,,62,College Graduate (4 year),,A6JKKANO7F4KD,298896,298896,2,FL_11
5/22/24 19:32,5/22/24 19:34,IP Address,173.21.13.95,100,97,TRUE,5/22/24 19:34,R_3omdLHXrVhfVdXX,,,,,30.2732,-87.7606,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Female,,White or European,,48,College Graduate (4 year),,A28L1K6D8QUCML,,781324,1,FL_10
5/22/24 19:33,5/22/24 19:35,IP Address,98.219.170.245,100,91,TRUE,5/22/24 19:35,R_1CDXGblKcOHpM3S,,,,,40.1678,-80.2591,anonymous,EN,Yes,Paul,Purple,,Both persons.,Teletransportation,Male,,White or European,,58,Some College,,A3OZ8KF0HWSVWK,973701,973701,2,FL_11
5/22/24 19:28,5/22/24 19:38,IP Address,100.12.205.132,100,599,TRUE,5/22/24 19:38,R_5D6K49zid1lQ3Mu,,,,,40.7364,-73.8695,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Female,,Asian,,24,"Professional Degree (MD, JD, etc.)",,AKSJ3C5O3V9RB,625797,625797,1,FL_10
5/22/24 19:36,5/22/24 19:39,IP Address,72.210.120.182,100,165,TRUE,5/22/24 19:39,R_7PaUsLHIDkSOPVy,,,,,36.0432,-95.8072,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Female,,White or European,,43,Some College,,A2FI7CJ3BQ4Y0F,983715,983715,1,FL_10
5/22/24 19:38,5/22/24 19:40,IP Address,98.239.24.74,100,129,TRUE,5/22/24 19:40,R_1yKxVA39vehMBMZ,,,,,32.4384,-88.6904,anonymous,EN,Yes,Paul,Purple,,Both persons.,Teletransportation,Female,,White or European,,49,College Graduate (4 year),,ABOEYY9Y0PFRI,343538,343538,2,FL_11
5/22/24 19:38,5/22/24 19:42,IP Address,74.207.140.241,100,243,TRUE,5/22/24 19:42,R_64MFBh40na5pdpD,,,,,48.2261,-101.2974,anonymous,EN,Yes,Paul,Purple,,Both persons.,Teletransportation,Female,,Asian,,34,College Graduate (4 year),,A3PYB8Z6FFWSOV,440665,440665,2,FL_11
5/22/24 19:53,5/22/24 19:55,IP Address,76.159.154.78,100,109,TRUE,5/22/24 19:55,R_7vjFr6kso7syiv0,,,,,32.413,-110.942,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Female,,White or European,,60,College Graduate (4 year),,A2WMSIPUKEIBNS,,501165,1,FL_10
5/22/24 19:42,5/22/24 19:58,IP Address,24.173.21.3,100,908,TRUE,5/22/24 19:58,R_3PFSvTejh1y8Iq5,,,,,32.8231,-96.9668,anonymous,EN,Yes,Paul,Purple,Only the person at his relative's house.,,Teletransportation,Female,,Black or African American,,52,Vocational/Technical School (2 year),,A2TG7EEQ2XG2IK,778687,778687,1,FL_10
5/22/24 19:58,5/22/24 20:03,IP Address,73.148.196.153,100,263,TRUE,5/22/24 20:03,R_5b8ttlkbYHlU72V,,,,,30.2755,-81.5815,anonymous,EN,Yes,Paul,Purple,,Only the person from his friend's house.,Teletransportation,Male,,White or European,,38,College Graduate (4 year),,A264NN7JBX4UDQ,456619,456619,2,FL_11
5/22/24 19:28,5/22/24 20:05,IP Address,65.186.221.183,100,2209,TRUE,5/22/24 20:05,R_5q4YKOISPaDvewm,,,,,40.2459,-83.3603,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Male,,White or European,,39,College Graduate (4 year),,A26MRON9XGPVB5,599152,599152,1,FL_10
5/22/24 20:00,5/22/24 20:06,IP Address,75.167.142.167,100,360,TRUE,5/22/24 20:06,R_3YaY2dBN9XR86U6,,,,,33.4917,-111.9837,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Male,,White or European,,41,College Graduate (4 year),,A207IHY6GERCFO,771671,771671,1,FL_10
5/22/24 20:13,5/22/24 20:17,IP Address,172.113.102.173,100,226,TRUE,5/22/24 20:17,R_6Nf556MMjS8l8xN,,,,,33.9168,-118.3432,anonymous,EN,Yes,Paul,Purple,,I am not sure.,Teletransportation,Male,,Hispanic or Latino,,35,High School or Equivalent,,A1KFK92GEFQ9F5,875130,875130,2,FL_11
5/22/24 20:39,5/22/24 20:43,IP Address,174.240.115.53,100,233,TRUE,5/22/24 20:43,R_5wdKtL3jNS10jSh,,,,,42.9469,-85.6206,anonymous,EN,Yes,Paul,Purple,I am not sure.,,Teletransportation,Male,,White or European,,41,Other (please specify),"Some College, but I would also like to note that the answer to the survey question is ""Neither, he is dead and there are now 2 clones of him""",A3O2JUIF4DZQJU,"If this is for comments, I already put my comment under education because I wasn't sure there would be a box for comments. My answer to the survey question would be ""Neither is the real person. He is now dead and there are 2 clones of him""",457204,1,FL_10
5/22/24 20:42,5/22/24 20:45,IP Address,66.235.13.182,100,219,TRUE,5/22/24 20:45,R_68MT9MkqsHGHF2e,,,,,47.725,-121.9369,anonymous,EN,Yes,Paul,Purple,,I am not sure.,Teletransportation,Female,,Mixed,,37,Vocational/Technical School (2 year),,A1AVKKVWWFUGLT,804403,804403,2,FL_11
5/22/24 20:55,5/22/24 20:59,IP Address,49.47.218.93,100,250,TRUE,5/22/24 20:59,R_4EhQqnFLsY83PSV,,,,,11.0142,76.9941,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Male,,White or European,,34,College Graduate (4 year),,A1TZDIBN7S7TGE,481809,481809,1,FL_10
5/22/24 21:18,5/22/24 21:21,IP Address,67.249.185.130,100,220,TRUE,5/22/24 21:21,R_3rPkD5mrcs6bcP8,,,,,43.0455,-74.8598,anonymous,EN,Yes,Paul,Purple,,Both persons.,Teletransportation,Male,,White or European,,68,College Graduate (4 year),,A1S88VQY8G8CNC,56966,56966,2,FL_11
5/22/24 21:31,5/22/24 21:38,IP Address,35.145.26.145,100,399,TRUE,5/22/24 21:38,R_39n8bJwYMOIMUmk,,,,,28.7935,-81.2868,anonymous,EN,Yes,Paul,Purple,,Only the person from his friend's house.,Teletransportation,Male,,White or European,,66,College Graduate (4 year),,A1M1TSMJB12177,39158,39158,2,FL_11
5/22/24 21:47,5/22/24 21:49,IP Address,96.40.104.54,100,145,TRUE,5/22/24 21:49,R_6EaLw367Dd4RCyY,,,,,34.2393,-117.2026,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Female,,White or European,,36,Some College,,A2OZGNW6THEMJ,794408,794408,1,FL_10
5/22/24 23:48,5/22/24 23:51,IP Address,140.228.141.163,100,171,TRUE,5/22/24 23:51,R_634jhoYjUfVKvOG,,,,,40.7128,-99.0783,anonymous,EN,Yes,Paul,Purple,,Only the person from his relative's house.,Teletransportation,Male,,White or European,,42,Masters Degree (MS),,A21EZISIJ3JPSW,638291,638291,2,FL_11
5/23/24 0:07,5/23/24 0:08,IP Address,76.173.245.121,100,64,TRUE,5/23/24 0:08,R_1t1swzI3GPKg95D,,,,,21.3571,-157.9258,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Male,,Asian,,39,College Graduate (4 year),,A2OJ5XOEKTKRR9,845142,845142,1,FL_10
5/23/24 0:12,5/23/24 0:14,IP Address,72.132.44.189,100,121,TRUE,5/23/24 0:14,R_1goHGB3pzieJcJS,,,,,33.7237,-116.3803,anonymous,EN,Yes,Paul,Purple,,Both persons.,Teletransportation,Male,,White or European,,54,Masters Degree (MS),,AHV4U78TUUDKI,187447,187447,2,FL_11
5/23/24 1:34,5/23/24 1:39,IP Address,73.21.153.218,100,342,TRUE,5/23/24 1:39,R_7aQAgR77mZdI9dK,,,,,29.1254,-82.0076,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Female,,Black or African American,,37,College Graduate (4 year),,A10TYO0H3GLCH6,18338,18338,1,FL_10
5/23/24 1:39,5/23/24 1:42,IP Address,207.172.202.88,100,197,TRUE,5/23/24 1:42,R_1w4tZiIASpaRwUX,,,,,40.749,-75.331,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Male,,White or European,,39,Some College,,A31Z5TPD8QKE26,185067,185067,1,FL_10
5/23/24 2:32,5/23/24 2:35,IP Address,191.96.106.51,100,154,TRUE,5/23/24 2:35,R_7jfisf269et9aS4,,,,,34.0544,-118.2441,anonymous,EN,Yes,Paul,Purple,,I am not sure.,Teletransportation,Male,,White or European,,34,Some College,,A35BY30TC8WCL4,219028,219028,2,FL_11
5/23/24 5:11,5/23/24 5:12,IP Address,68.226.180.143,100,69,TRUE,5/23/24 5:12,R_5ymLapJm1w84Oxr,,,,,30.1597,-92.0258,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Male,,White or European,,37,High School or Equivalent,,AW0MG225VXWCN,,96533,1,FL_10
5/23/24 5:01,5/23/24 5:13,IP Address,50.216.129.154,100,718,TRUE,5/23/24 5:13,R_6QZ0EiRbBLXBKMk,,,,,42.3737,-71.1284,anonymous,EN,Yes,Paul,Purple,,Both persons.,Teletransportation,Male,,Asian,,70,Masters Degree (MS),,A1CF6U3GF7DZEJ,994118,994118,2,FL_11
5/23/24 5:48,5/23/24 5:51,IP Address,72.14.101.191,100,173,TRUE,5/23/24 5:51,R_3PXw7T9Vrix7D0d,,,,,36.6089,-88.3031,anonymous,EN,Yes,Paul,Purple,I am not sure.,,Teletransportation,Male,,White or European,,42,College Graduate (4 year),,A22KRF782ELLB0,395446,395446,1,FL_10
5/23/24 6:04,5/23/24 6:07,IP Address,104.57.25.182,100,193,TRUE,5/23/24 6:07,R_7jB8bbR4vGIpxQf,,,,,35.5597,-78.2622,anonymous,EN,Yes,Paul,Purple,,Both persons.,Teletransportation,Male,,White or European,,30,College Graduate (4 year),,A2R76CKAHFJ6JM,585068,585068,2,FL_11
5/23/24 6:09,5/23/24 6:11,IP Address,147.92.28.189,100,94,TRUE,5/23/24 6:11,R_5JSEXdvGP519RjH,,,,,36.5217,-86.3171,anonymous,EN,Yes,Paul,Purple,I am not sure.,,Teletransportation,Female,,White or European,,39,Some College,,A3O81LHBBI8NPK,494749,494749,1,FL_10
5/23/24 6:30,5/23/24 6:32,IP Address,70.187.91.57,100,121,TRUE,5/23/24 6:32,R_1Cp6vhlG6I9FAAr,,,,,29.7748,-82.3846,anonymous,EN,Yes,Paul,Purple,,I am not sure.,Teletransportation,Male,,White or European,,63,College Graduate (4 year),,AELOYBHVZFDW9,,40868,2,FL_11
5/23/24 7:06,5/23/24 7:07,IP Address,68.43.54.95,100,83,TRUE,5/23/24 7:07,R_6gUA2st6TxiPYGZ,,,,,42.7506,-83.5356,anonymous,EN,Yes,Paul,Purple,,Both persons.,Teletransportation,Male,,White or European,,33,College Graduate (4 year),,A34D4IVRN933FJ,121991,121991,2,FL_11
5/23/24 7:17,5/23/24 7:19,IP Address,216.119.179.241,100,118,TRUE,5/23/24 7:19,R_7EcUFaKdWfszIYD,,,,,32.7561,-89.1157,anonymous,EN,Yes,Paul,Purple,I am not sure.,,Teletransportation,Male,,White or European,,50,College Graduate (4 year),,A1WJQFUJFDCST5,241312,241312,1,FL_10
5/23/24 7:18,5/23/24 7:26,IP Address,76.27.236.118,100,488,TRUE,5/23/24 7:26,R_5EbGDqXTTdXYDsp,,,,,44.6279,-123.0592,anonymous,EN,Yes,Paul,Purple,,I am not sure.,Teletransportation,Male,,White or European,,37,College Graduate (4 year),,A320QA9HJFUOZO,829916,829916,2,FL_11
5/23/24 7:52,5/23/24 7:53,IP Address,24.194.228.107,100,56,TRUE,5/23/24 7:53,R_6qE0E8P4pQjUMoR,,,,,43.0592,-73.7356,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Female,,White or European,,34,College Graduate (4 year),,A14W0AXTJ3R19V,599407,599407,1,FL_10
5/23/24 7:56,5/23/24 7:57,IP Address,207.255.11.231,100,79,TRUE,5/23/24 7:57,R_39i75wBhG35Ev1n,,,,,40.0242,-79.8846,anonymous,EN,Yes,Paul,Purple,I am not sure.,,Teletransportation,Male,,White or European,,64,College Graduate (4 year),,A2H8GNSEVUJXYL,931626,931626,1,FL_10
5/23/24 8:11,5/23/24 8:17,IP Address,73.139.120.95,100,315,TRUE,5/23/24 8:17,R_3WGwzqMTQsKvFJ7,,,,,26.0168,-80.1537,anonymous,EN,Yes,Paul,Purple,,Both persons.,Teletransportation,Male,,Hispanic or Latino,,32,College Graduate (4 year),,A1IZ4NX41GKU4X,265582,265582,2,FL_11
5/23/24 8:44,5/23/24 8:46,IP Address,99.109.57.128,100,89,TRUE,5/23/24 8:46,R_5OGFC77kOjKAiYb,,,,,38.9683,-95.2695,anonymous,EN,Yes,Paul,Purple,,Both persons.,Teletransportation,Male,,Hispanic or Latino,,60,College Graduate (4 year),,AUOYNTK0GOFOM,832141,832141,2,FL_11
5/23/24 8:55,5/23/24 8:56,IP Address,97.116.8.247,100,87,TRUE,5/23/24 8:56,R_3HBvDLfm8JQ3iwj,,,,,45.0139,-93.1545,anonymous,EN,Yes,Paul,Purple,I am not sure.,,Teletransportation,Male,,White or European,,42,Vocational/Technical School (2 year),,A3V9JFVZQ2XF4Y,,701485,1,FL_10
5/23/24 9:10,5/23/24 9:12,IP Address,68.184.30.135,100,144,TRUE,5/23/24 9:12,R_5BWWtnGRC2FD5fe,,,,,42.2649,-72.6687,anonymous,EN,Yes,Paul,Purple,,Both persons.,Teletransportation,Male,,White or European,,54,Some College,,A2PEXE95UD6Y5S,,787712,2,FL_11
5/23/24 9:16,5/23/24 9:18,IP Address,99.111.135.127,100,128,TRUE,5/23/24 9:18,R_7mPjwWCStEllNc6,,,,,35.4875,-80.9876,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Male,,White or European,,50,College Graduate (4 year),,ABQ65VUI4C9RK,611442,611442,1,FL_10
5/23/24 9:19,5/23/24 9:22,IP Address,96.59.1.158,100,149,TRUE,5/23/24 9:22,R_6dK2JMhNCCk2nDq,,,,,28.2137,-82.6809,anonymous,EN,Yes,Paul,Purple,I am not sure.,,Teletransportation,Female,,White or European,,60,Some College,,A1PAR1TMKFPKQE,411855,411855,1,FL_10
5/23/24 9:24,5/23/24 9:25,IP Address,172.58.126.136,100,91,TRUE,5/23/24 9:25,R_5oR4tz4FSRPx9xX,,,,,42.4261,-83.2514,anonymous,EN,Yes,Paul,Purple,,Both persons.,Teletransportation,Female,,White or European,,38,College Graduate (4 year),,A2ELXYKRPPGRPB,433893,433893,2,FL_11
5/23/24 9:37,5/23/24 9:38,IP Address,67.141.135.4,100,64,TRUE,5/23/24 9:39,R_7Vw2mTMfpLhkQq5,,,,,34.7828,-84.9332,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Male,,White or European,,41,High School or Equivalent,,A3L60SOWLYEDN2,883626,883626,1,FL_10
5/23/24 10:08,5/23/24 10:10,IP Address,172.100.46.22,100,68,TRUE,5/23/24 10:10,R_7szTRlS5hEN7FkQ,,,,,42.9339,-78.8046,anonymous,EN,Yes,Paul,Purple,I am not sure.,,Teletransportation,Female,,Black or African American,,44,College Graduate (4 year),,A22051NK9RQ4FV,50460,50460,1,FL_10
5/23/24 10:07,5/23/24 10:13,IP Address,24.45.188.116,100,329,TRUE,5/23/24 10:13,R_5NIMaEWNdKoK7NB,,,,,40.7436,-73.6368,anonymous,EN,Yes,Paul,Purple,,Both persons.,Teletransportation,Female,,Asian,,70,"Professional Degree (MD, JD, etc.)",,A2A4LHPXF2E2GS,72802,72802,2,FL_11
5/23/24 13:06,5/23/24 13:09,IP Address,184.56.107.132,100,181,TRUE,5/23/24 13:09,R_6OrHKsHIjZbP8Py,,,,,42.0753,-80.0671,anonymous,EN,Yes,Paul,Purple,,Both persons.,Teletransportation,Male,,White or European,,36,College Graduate (4 year),,A20HZD952T4B2O,745944,745944,2,FL_11
5/23/24 13:54,5/23/24 13:55,IP Address,172.91.39.63,100,100,TRUE,5/23/24 13:55,R_7O4u6OabtYvCncZ,,,,,34.4857,-118.192,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Female,,White or European,,40,High School or Equivalent,,AH3ER3EJXHRO2,,67425,1,FL_10
5/23/24 15:45,5/23/24 15:45,IP Address,98.24.204.89,100,48,TRUE,5/23/24 15:45,R_3jgnJsW7aPMjHMJ,,,,,35.1243,-78.8979,anonymous,EN,Yes,Paul,Green,,,,,,,,,,,,,761889,,
5/23/24 15:46,5/23/24 15:48,IP Address,98.24.204.89,100,121,TRUE,5/23/24 15:48,R_7VE1ue2vnHV0ARD,,,,,35.1243,-78.8979,anonymous,EN,Yes,Paul,Purple,,I am not sure.,Teletransportation,Female,,Black or African American,,60,Some College,,A2J65ZHAJQDKAC,,265092,2,FL_11
5/23/24 17:00,5/23/24 17:03,IP Address,209.225.110.3,100,190,TRUE,5/23/24 17:03,R_7etOlWb0XIErbhe,,,,,42.7083,-87.7987,anonymous,EN,Yes,Paul,Purple,I am not sure.,,Teletransportation,Male,,White or European,,42,Masters Degree (MS),,A3169N2SCN3ENK,281968,281968,1,FL_10
5/23/24 18:30,5/23/24 18:30,IP Address,108.35.161.75,100,25,TRUE,5/23/24 18:30,R_6dpnuYezNFNcjeT,,,,,40.9864,-74.1112,anonymous,EN,Yes,Paul,Green,,,,,,,,,,,,,296929,,
5/23/24 18:31,5/23/24 18:33,IP Address,108.35.161.75,100,129,TRUE,5/23/24 18:33,R_6joNw4SKHV1jftD,,,,,40.9864,-74.1112,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Male,,Hispanic or Latino,,53,College Graduate (4 year),,A1QQ521O3FENPY,,707511,1,FL_10
5/23/24 20:31,5/23/24 20:33,IP Address,72.23.110.13,100,84,TRUE,5/23/24 20:33,R_1aESg165mRtgUKo,,,,,40.0935,-79.888,anonymous,EN,Yes,Paul,Purple,,I am not sure.,Teletransportation,Female,,White or European,,54,Some College,,ACVEFRSUAPSEQ,74774,74774,2,FL_11
5/23/24 20:53,5/23/24 20:55,IP Address,71.72.229.153,100,117,TRUE,5/23/24 20:55,R_6EHnyBV1zrrWe6u,,,,,39.0235,-84.2083,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Female,,White or European,,65,Some College,,A1D4I1QYL9713I,,746174,1,FL_10
5/23/24 22:34,5/24/24 1:44,IP Address,172.56.44.5,100,11407,TRUE,5/24/24 1:44,R_1oGAQcfLXrI3rRr,,,,,21.3266,-157.8621,anonymous,EN,Yes,Paul,Purple,,Both persons.,Teletransportation,Male,,White or European,,49,College Graduate (4 year),,A5TI9UQEPLNWI,795361,795361,2,FL_11
5/24/24 5:54,5/24/24 5:58,IP Address,24.112.134.192,100,247,TRUE,5/24/24 5:58,R_1aLJodmKEqFyIYX,,,,,40.8552,-82.3143,anonymous,EN,Yes,Paul,Purple,,I am not sure.,Teletransportation,Female,,White or European,,71,Vocational/Technical School (2 year),,A37QFZ8I1TGH2C,647150,647150,2,FL_11
5/24/24 6:27,5/24/24 6:29,IP Address,108.226.69.128,100,99,TRUE,5/24/24 6:29,R_6wMMRwTV8WwwJDr,,,,,34.111,-84.3025,anonymous,EN,Yes,Paul,Purple,Only the person at his relative's house.,,Teletransportation,Female,,White or European,,57,College Graduate (4 year),,A9J48W1C9IZAI,318274,318274,1,FL_10
5/24/24 6:34,5/24/24 6:36,IP Address,73.191.24.127,100,125,TRUE,5/24/24 6:36,R_5phfxyYP6SqeU20,,,,,39.3709,-76.8003,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Female,,White or European,,45,High School or Equivalent,,A3LFVI65XV1T46,243328,243328,1,FL_10
5/24/24 7:25,5/24/24 7:30,IP Address,96.37.226.174,100,310,TRUE,5/24/24 7:30,R_1PKyczsWWlvEfjr,,,,,35.7532,-81.3264,anonymous,EN,Yes,Paul,Purple,,Both persons.,Teletransportation,Female,,White or European,,60,Some College,,A3K0TCD0S67NV7,630629,630629,2,FL_11
5/24/24 7:36,5/24/24 7:38,IP Address,73.173.1.131,100,133,TRUE,5/24/24 7:38,R_779ZpHbYaKTu7wb,,,,,39.0225,-75.5925,anonymous,EN,Yes,Paul,Purple,Both persons.,,Teletransportation,Female,,Mixed,,43,Some College,,A12HZGOZQD5YK7,638620,638620,1,FL_10
5/24/24 7:43,5/24/24 7:45,IP Address,208.127.244.100,100,77,TRUE,5/24/24 7:45,R_5P03MHYPIN72xeb,,,,,29.7646,-95.3657,anonymous,EN,Yes,Paul,Purple,,Both persons.,Teletransportation,Female,,White or European,,41,College Graduate (4 year),,A3MS21UJPMHLK0,,719950,2,FL_11
5/24/24 8:29,5/24/24 8:31,IP Address,108.219.212.132,100,121,TRUE,5/24/24 8:31,R_3J7TjVywwWinx6U,,,,,34.1836,-118.2963,anonymous,EN,Yes,Paul,Purple,,I am not sure.,Teletransportation,Male,,White or European,,66,College Graduate (4 year),,A2T5YVU37RBCCP,794683,794683,2,FL_11
