"","identity_name","two_or_one","identity_b_original","identity_b_copy","identity_b_neither","identity_b_both","persp","persp_num"
"180","1_original","one",1,0,0,0,"self","3"
"181","1_original","one",1,0,0,0,"full","4"
"182","2_copy","one",0,1,0,0,"self","3"
"183","2_copy","one",0,1,0,0,"full","4"
"184","1_original","one",1,0,0,0,"empathy","2"
"1851","2_copy","one",0,1,0,0,"empathy","2"
"1871","4_both","two",0,0,0,1,"empathy","2"
"1881","4_both","two",0,0,0,1,"self","3"
"1891","1_original","one",1,0,0,0,"self","3"
"191","4_both","two",0,0,0,1,"full","4"
"192","1_original","one",1,0,0,0,"self","3"
"193","4_both","two",0,0,0,1,"empathy","2"
"194","4_both","two",0,0,0,1,"self","3"
"1951","2_copy","one",0,1,0,0,"full","4"
"198","4_both","two",0,0,0,1,"empathy","2"
"1991","1_original","one",1,0,0,0,"empathy","2"
"200","1_original","one",1,0,0,0,"full","4"
"201","1_original","one",1,0,0,0,"self","3"
"202","1_original","one",1,0,0,0,"full","4"
"2031","1_original","one",1,0,0,0,"self","3"
"204","2_copy","one",0,1,0,0,"full","4"
"2051","4_both","two",0,0,0,1,"full","4"
"206","1_original","one",1,0,0,0,"self","3"
"207","1_original","one",1,0,0,0,"empathy","2"
"208","4_both","two",0,0,0,1,"self","3"
"2091","4_both","two",0,0,0,1,"empathy","2"
"210","1_original","one",1,0,0,0,"self","3"
"212","1_original","one",1,0,0,0,"self","3"
"2141","4_both","two",0,0,0,1,"full","4"
"215","1_original","one",1,0,0,0,"empathy","2"
"216","2_copy","one",0,1,0,0,"self","3"
"217","1_original","one",1,0,0,0,"full","4"
"218","3_neither","neither",0,0,1,0,"full","4"
"219","4_both","two",0,0,0,1,"full","4"
"220","2_copy","one",0,1,0,0,"full","4"
"2211","2_copy","one",0,1,0,0,"self","3"
"2231","1_original","one",1,0,0,0,"self","3"
"224","1_original","one",1,0,0,0,"full","4"
"226","2_copy","one",0,1,0,0,"full","4"
"2281","1_original","one",1,0,0,0,"empathy","2"
"229","1_original","one",1,0,0,0,"empathy","2"
"230","1_original","one",1,0,0,0,"full","4"
"231","1_original","one",1,0,0,0,"full","4"
"232","1_original","one",1,0,0,0,"self","3"
"233","1_original","one",1,0,0,0,"self","3"
"234","4_both","two",0,0,0,1,"self","3"
"235","2_copy","one",0,1,0,0,"empathy","2"
"236","1_original","one",1,0,0,0,"empathy","2"
"2371","4_both","two",0,0,0,1,"full","4"
"238","4_both","two",0,0,0,1,"self","3"
"239","2_copy","one",0,1,0,0,"empathy","2"
"240","2_copy","one",0,1,0,0,"full","4"
"242","4_both","two",0,0,0,1,"self","3"
"243","4_both","two",0,0,0,1,"full","4"
"244","1_original","one",1,0,0,0,"self","3"
"2451","3_neither","neither",0,0,1,0,"self","3"
"246","2_copy","one",0,1,0,0,"empathy","2"
"247","2_copy","one",0,1,0,0,"empathy","2"
"2491","4_both","two",0,0,0,1,"self","3"
"2501","1_original","one",1,0,0,0,"full","4"
"2511","1_original","one",1,0,0,0,"empathy","2"
"252","1_original","one",1,0,0,0,"self","3"
"253","1_original","one",1,0,0,0,"full","4"
"256","3_neither","neither",0,0,1,0,"full","4"
"257","2_copy","one",0,1,0,0,"empathy","2"
"258","2_copy","one",0,1,0,0,"empathy","2"
"2591","1_original","one",1,0,0,0,"self","3"
"260","4_both","two",0,0,0,1,"empathy","2"
"2611","4_both","two",0,0,0,1,"empathy","2"
"262","2_copy","one",0,1,0,0,"empathy","2"
"2641","2_copy","one",0,1,0,0,"empathy","2"
"265","1_original","one",1,0,0,0,"empathy","2"
"266","1_original","one",1,0,0,0,"self","3"
"267","1_original","one",1,0,0,0,"self","3"
"268","2_copy","one",0,1,0,0,"self","3"
"269","4_both","two",0,0,0,1,"full","4"
"270","3_neither","neither",0,0,1,0,"full","4"
"2711","1_original","one",1,0,0,0,"self","3"
"2721","1_original","one",1,0,0,0,"self","3"
"273","4_both","two",0,0,0,1,"empathy","2"
"275","1_original","one",1,0,0,0,"full","4"
"2761","1_original","one",1,0,0,0,"self","3"
"2771","3_neither","neither",0,0,1,0,"empathy","2"
"278","4_both","two",0,0,0,1,"full","4"
"279","4_both","two",0,0,0,1,"empathy","2"
"280","2_copy","one",0,1,0,0,"empathy","2"
"282","4_both","two",0,0,0,1,"full","4"
"283","2_copy","one",0,1,0,0,"self","3"
"284","4_both","two",0,0,0,1,"full","4"
"285","2_copy","one",0,1,0,0,"self","3"
"286","1_original","one",1,0,0,0,"empathy","2"
"2871","2_copy","one",0,1,0,0,"full","4"
"2881","1_original","one",1,0,0,0,"self","3"
"289","4_both","two",0,0,0,1,"empathy","2"
"290","4_both","two",0,0,0,1,"full","4"
"291","1_original","one",1,0,0,0,"empathy","2"
"292","1_original","one",1,0,0,0,"full","4"
"293","1_original","one",1,0,0,0,"full","4"
"294","1_original","one",1,0,0,0,"full","4"
"296","4_both","two",0,0,0,1,"full","4"
"297","1_original","one",1,0,0,0,"self","3"
"2981","2_copy","one",0,1,0,0,"self","3"
"299","2_copy","one",0,1,0,0,"empathy","2"
"300","4_both","two",0,0,0,1,"empathy","2"
"301","1_original","one",1,0,0,0,"empathy","2"
