StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,attn_1,attn_2,basic_identity_1,q_instruction_First Click,q_instruction_Last Click,q_instruction_Page Submit,q_instruction_Click Count,q_see,q_hear,q_smell,simultaneous_or_flip,first_identity_1,comp_q,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,Q30,Q31,RandomID,cond
2024-06-27 16:17:55,2024-06-27 16:25:49,IP Address,162.210.194.2,100,474,True,2024-06-27 16:25:50,R_5RvBLxGQ30STbo1,,,,,39.7356,-75.5516,anonymous,EN,Yes,Paul,Purple,,0,0,67.032,0,"He is saying that even he, the great apostle, cannot fully understand or even imagine all that God is going to do for us.","Final answer: Encoding is the step that does not occur when creating an illusion of familiarity, because it involves forming new memories by placing experiences into memory storage, which is absent in such illusions.","Phantosmia may be caused by a head injury or upper respiratory infection. It also can be caused by aging, trauma, temporal lobe seizures, inflamed sinuses, brain tumors, certain medicines and Parkinson's disease. Phantosmia also can result from a COVID-19 infection.","Single consciousness, split screen",76,Plane travel,Male,,White or European,,36,Masters Degree (MS),,A26ZVCF2UU50VD,431934,431934,2
2024-06-27 16:24:43,2024-06-27 16:26:00,IP Address,69.77.250.207,100,76,True,2024-06-27 16:26:01,R_5LB8MTZEdXlff0u,,,,,43.4237,-103.4765,anonymous,EN,Yes,Paul,Purple,100,,,,,,,,,,Teletransportation,Female,,White or European,,41,Masters Degree (MS),,A193D9OQUVFSVT,990724,990724,1
2024-06-27 16:21:51,2024-06-27 16:27:05,IP Address,73.104.55.245,100,314,True,2024-06-27 16:27:06,R_7OO5oqU05qPdKvN,,,,,30.3524,-81.5867,anonymous,EN,Yes,Paul,Purple,,0,0,70.063,0,I see my relative sweeping and my friend cooking.,I hear the sounds of sweeping and cooking.,I smell the scents of the food being cooked.,"Single consciousness, split screen",100,Teletransportation,Male,,White or European,,26,College Graduate (4 year),,A28HB7240OFGEW,706077,706077,2
2024-06-27 16:25:17,2024-06-27 16:27:08,IP Address,154.27.89.238,100,110,True,2024-06-27 16:27:08,R_7OJZLwCoZOYyCCz,,,,,26.7158,-80.0491,anonymous,EN,Yes,Paul,Purple,29,,,,,,,,,,Teletransportation,Male,,White or European,,30,Some College,,A3UKCAOU7P1BKG,146216,146216,1
2024-06-27 16:19:15,2024-06-27 16:27:57,IP Address,108.60.219.71,100,522,True,2024-06-27 16:27:58,R_5g0gATGnLdXtuGv,,,,,32.9457,-97.1547,anonymous,EN,Yes,Paul,Purple,,43.328,87.895,90.551,6,"I see a jumbled mess of overlapping information. My friend's kitchen fills one half of my vision. I see pots and pans on the stove, sizzling food, and maybe a cookbook open on the counter. The other half shows my relative's living room, with furniture, decorations, and possibly a window with a view of the backyard.","I hear the clinking of spoons and the sizzle of food from my friend's kitchen, likely accompanied by conversation or music. At the same time, I hear the rhythmic sweep of a broom and maybe the hum of a dehumidifier from my relative's house.",The delicious aroma of cooking food from my friend's house mixes with the possible dust particles disturbed by sweeping at my relative's place.,"Single consciousness, flipping",91,Teletransportation,Male,,White or European,,44,Masters Degree (MS),,A1NS92LCRMQOV,924309,924309,2
2024-06-27 16:25:38,2024-06-27 16:28:55,IP Address,140.233.227.147,100,196,True,2024-06-27 16:28:56,R_3PHv4GKB9xxAYTU,,,,,40.5802,-74.3594,anonymous,EN,Yes,Paul,Purple,,90.238,90.238,90.801,1,none of the above,none of the above,none of the above,"Single consciousness, simultaneous",100,Teletransportation,Male,,White or European,,24,College Graduate (4 year),,AWPJ0ZTRU5STA,375062,375062,2
2024-06-27 16:27:12,2024-06-27 16:29:36,IP Address,140.233.227.241,100,143,True,2024-06-27 16:29:37,R_3qC6h2jyacxaTHS,,,,,40.5802,-74.3594,anonymous,EN,Yes,Paul,Purple,100,,,,,,,,,,Teletransportation,Male,,White or European,,24,College Graduate (4 year),,A3S01GJ5V2Z3B,509765,509765,1
2024-06-27 16:27:17,2024-06-27 16:30:22,IP Address,140.233.227.242,100,185,True,2024-06-27 16:30:23,R_1JIcMQHj0Mya8yR,,,,,40.5802,-74.3594,anonymous,EN,Yes,Paul,Purple,,0,0,99.649,0,none of the above,none of the above,none of the above,"Single consciousness, split screen",98,Teletransportation,Male,,White or European,,24,College Graduate (4 year),,A733ZGVDFZVVJ,943999,943999,2
2024-06-27 16:21:13,2024-06-27 16:33:03,IP Address,108.181.166.3,100,709,True,2024-06-27 16:33:03,R_3TTCsrFBV3gh8eO,,,,,32.7797,-96.8022,anonymous,EN,Yes,Paul,Purple,,6.66,274.84,284.787,3,"Friend's House: The kitchen is vibrant and bustling. My friend is at the stove, stirring a pot. The countertops are filled with ingredients, spices, and kitchen utensils. There are sleek, modern appliances, and the walls are painted a bright, cheerful color. The light is bright and clean, reflecting off shiny surfaces.
Relative's House: The living room has a cozy, lived-in feel. My relative is moving rhythmically with the broom, sweeping up. The room is warmly lit, with soft, ambient lighting. There are comfortable chairs and a sofa, personal photos on the walls, and a few knick-knacks on the shelves.","Friend's House: The sizzle of food cooking on the stove, the rhythmic chop of a knife on a cutting board, and the soft hum of the refrigerator. There might be faint background music, creating a lively atmosphere.
Relative's House: The gentle swish of the broom against the floor, the occasional creak of the floorboards, and a distant murmur of a TV or radio playing softly in another room.","Friend's House: The rich, savory aroma of food being cooked, a blend of spices, herbs, and perhaps a hint of something frying or simmering. It's a warm, inviting smell that makes my mouth water.
Relative's House: The fresh, clean scent of a recently cleaned house, mixed with the subtle fragrance of a cleaning solution or a scented candle. There's a hint of something floral or citrusy, creating a refreshing and pleasant atmosphere.",Two consciousnesses,78,Teletransportation,Female,,White or European,,37,Masters Degree (MS),,A3PTI24KUD6JRU,756717,756717,2
2024-06-27 16:32:18,2024-06-27 16:33:05,IP Address,209.20.249.227,100,47,True,2024-06-27 16:33:05,R_5g6CUXHWNRxld3Z,,,,,37.751,-97.822,anonymous,EN,Yes,Paul,Purple,75,,,,,,,,,,Teletransportation,Male,,White or European,,30,Masters Degree (MS),,A1H7VDX8CGZLZO,216368,216368,1
2024-06-27 16:26:44,2024-06-27 16:33:13,IP Address,69.9.144.78,100,388,True,2024-06-27 16:33:13,R_7etmTAbq2mAMXmx,,,,,42.4638,-123.3464,anonymous,EN,Yes,Paul,Purple,,0,0,67.902,0,"I feel like I'm in two places at once: at my friend's house where delicious food is cooking, and at my relative's house where they're sweeping.","I hear food sizzling and my friend humming at one house, while at the other house, I hear sweeping and birds chirping.",I smell delicious food cooking at one house and fresh cleaning supplies at the other.,Two consciousnesses,90,Teletransportation,Male,,White or European,,33,Some College,,A6M7YIG6KKHPA,1289,1289,2
2024-06-27 16:43:43,2024-06-27 16:45:26,IP Address,140.233.224.30,100,103,True,2024-06-27 16:45:27,R_51VK91bM9oQP7zj,,,,,40.5802,-74.3594,anonymous,EN,Yes,Paul,Purple,51,,,,,,,,,,Plane travel,Male,,White or European,,36,Masters Degree (MS),,A3SWGY29WE7DPE,483076,483076,1
2024-06-27 16:29:54,2024-06-27 16:48:16,IP Address,154.27.64.110,100,1102,True,2024-06-27 16:48:17,R_3YEaWeotjiRrkwU,,,,,26.7158,-80.0491,anonymous,EN,Yes,Paul,Purple,43,,,,,,,,,,Teletransportation,Male,,White or European,,30,Masters Degree (MS),,AI0RACPIMVUUB,198263,198263,1
2024-06-27 16:56:03,2024-06-27 16:58:35,IP Address,137.155.127.232,100,151,True,2024-06-27 16:58:36,R_7V61FEY9oilbUXL,,,,,37.751,-97.822,anonymous,EN,Yes,Paul,Purple,,6.204,6.204,63.58,1,nothing to see this,nothing to see this,nothing to see this,"Single consciousness, simultaneous",58,Teletransportation,Male,,White or European,,30,College Graduate (4 year),,A3FED3YMDLLXGN,730004,730004,2
2024-06-27 17:15:08,2024-06-27 17:17:06,IP Address,216.16.58.121,100,117,True,2024-06-27 17:17:06,R_1DoqczKA6fGf45B,,,,,44.9048,-97.1243,anonymous,EN,Yes,Paul,Purple,100,,,,,,,,,,Teletransportation,Male,,White or European,,33,College Graduate (4 year),,A3EG4C9T4F5DUR,678691,678691,1
2024-06-27 17:17:42,2024-06-27 17:18:04,IP Address,209.20.211.13,100,21,True,2024-06-27 17:18:04,R_5PCHEwcFpJ21SXT,,,,,33.8737,-118.236,anonymous,EN,Yes,Paul,Green,,,,,,,,,,,,,,,,,,,,,708130,
2024-06-27 17:18:04,2024-06-27 17:18:55,IP Address,63.113.31.192,100,50,True,2024-06-27 17:18:55,R_5s5sAI2eT33Pt4J,,,,,39.8655,-86.122,anonymous,EN,Yes,Paul,Green,,,,,,,,,,,,,,,,,,,,,167165,
2024-06-27 17:18:11,2024-06-27 17:19:29,IP Address,154.27.76.227,100,78,True,2024-06-27 17:19:30,R_6gj9Gi5AA0t7jP6,,,,,26.7158,-80.0491,anonymous,EN,Yes,Paul,Purple,64,,,,,,,,,,Teletransportation,Male,,White or European,,30,High School or Equivalent,,A2KGOQCVOWT6AN,905800,905800,1
2024-06-27 17:17:51,2024-06-27 17:19:58,IP Address,154.27.77.100,100,126,True,2024-06-27 17:19:58,R_3myLoXg0c1mtfsG,,,,,26.7158,-80.0491,anonymous,EN,Yes,Paul,Purple,93,,,,,,,,,,Teletransportation,Female,,White or European,,25,College Graduate (4 year),,A3S9F89T3KKO1R,,625848,1
2024-06-27 17:19:03,2024-06-27 17:20:01,IP Address,209.114.17.250,100,57,True,2024-06-27 17:20:01,R_3CHtjpobZUbRWX8,,,,,37.751,-97.822,anonymous,EN,Yes,Paul,Purple,93,,,,,,,,,,Teletransportation,Male,,White or European,,30,Masters Degree (MS),,A90IPYMM1FGHD,739245,739245,1
2024-06-27 17:18:34,2024-06-27 17:20:03,IP Address,192.126.140.187,100,89,True,2024-06-27 17:20:04,R_7Q0eQapj4kpvgIm,,,,,37.751,-97.822,anonymous,EN,Yes,Both John and Paul,Purple,,,,,,,,,,,,,,,,,,,,,953693,
2024-06-27 17:18:10,2024-06-27 17:21:46,IP Address,140.233.227.213,100,215,True,2024-06-27 17:21:46,R_5J2fk1MF6yqYTOp,,,,,40.5802,-74.3594,anonymous,EN,Yes,Paul,Purple,,140.375,140.375,163.141,1,none of the above,none of the above,none of the above,"Single consciousness, split screen",100,Teletransportation,Male,,White or European,,24,College Graduate (4 year),,A316VYDC98TY81,514442,514442,2
2024-06-27 17:18:15,2024-06-27 17:22:45,IP Address,209.20.211.13,100,269,True,2024-06-27 17:22:45,R_3sh9tNRdZSwoGbd,,,,,33.8737,-118.236,anonymous,EN,Yes,Paul,Purple,,0,0,94.355,0,"He is saying that even he, the great apostle, cannot fully understand or even imagine all that God is going to do for us",The Lord will fight for you; you need only to be still,Phantosmia may be caused by a head injury or upper respiratory infection,"Single consciousness, flipping",100,Plane travel,Female,,White or European,,30,Masters Degree (MS),,AH36HAN86ZRKY,586353,586353,2
2024-06-27 17:22:32,2024-06-27 17:23:30,IP Address,192.227.81.194,100,57,True,2024-06-27 17:23:30,R_51gR0K3XcAfxRJK,,,,,37.751,-97.822,anonymous,EN,Yes,Paul,Purple,55,,,,,,,,,,Teletransportation,Female,,White or European,,25,College Graduate (4 year),,A24W8UUQ7A7HXN,455897,455897,1
2024-06-27 17:22:21,2024-06-27 17:24:23,IP Address,199.67.110.32,100,121,True,2024-06-27 17:24:24,R_1flpDluj4MmY8xd,,,,,40.7823,-73.7776,anonymous,EN,Yes,Paul,Purple,50,,,,,,,,,,Teletransportation,Female,,White or European,,22,College Graduate (4 year),,A3S99BVVK2KGBP,180980,180980,1
2024-06-27 17:19:55,2024-06-27 17:24:31,IP Address,63.113.31.192,100,276,True,2024-06-27 17:24:31,R_7txlmSoOoMq8wzj,,,,,39.8655,-86.122,anonymous,EN,Yes,Paul,Purple,93,,,,,,,,,,Plane travel,Male,,White or European,,34,College Graduate (4 year),,A1VXYQW8PRC6G9,774152,774152,1
2024-06-27 17:18:01,2024-06-27 17:24:32,IP Address,154.27.67.110,100,390,True,2024-06-27 17:24:32,R_5Qylv8rFrQhFXKw,,,,,26.7158,-80.0491,anonymous,EN,Yes,Paul,Purple,100,,,,,,,,,,Teletransportation,Male,,White or European,,30,Masters Degree (MS),,A3VJDX2QWZJNAK,329198,329198,1
2024-06-27 17:25:16,2024-06-27 17:25:54,IP Address,192.126.137.230,100,38,True,2024-06-27 17:25:55,R_3LZPygIPUzfyLHK,,,,,37.751,-97.822,anonymous,EN,Yes,Paul,Green,,,,,,,,,,,,,,,,,,,,,132266,
2024-06-27 17:18:01,2024-06-27 17:26:19,IP Address,208.196.107.91,100,497,True,2024-06-27 17:26:20,R_65XkfOXrIgfWmaJ,,,,,35.9875,-84.1168,anonymous,EN,Yes,Paul,Purple,,0,0,70.824,0,Relative is sweeping,Teletransporter in friend's house,Friend is cooking,"Single consciousness, split screen",95,Teletransportation,Female,,White or European,,25,College Graduate (4 year),,A2J6L79TTPGANR,656539,656539,2
2024-06-27 17:22:13,2024-06-27 17:27:00,IP Address,140.233.227.161,100,287,True,2024-06-27 17:27:01,R_1PjSXigpXR18FF8,,,,,40.5802,-74.3594,anonymous,EN,Yes,Paul,Purple,,1.981,1.981,166.175,1,none of the above,none of the above,none of the above,"Single consciousness, simultaneous",100,Teletransportation,Male,,White or European,,24,College Graduate (4 year),,A2LLK5T5Y1O9B3,942834,942834,2
2024-06-27 17:22:31,2024-06-27 17:30:04,IP Address,192.126.244.60,100,453,True,2024-06-27 17:30:05,R_7tF3lixkbyPcSNl,,,,,47.63,-122.2972,anonymous,EN,Yes,Paul,Purple,65,,,,,,,,,,Teletransportation,Female,,Hispanic or Latino,,33,College Graduate (4 year),,A3USJX6Q2MZCGR,,968836,1
2024-06-27 17:29:54,2024-06-27 17:33:33,IP Address,139.171.169.199,100,219,True,2024-06-27 17:33:33,R_1mJGwvo1P09Vlh4,,,,,43.1139,-79.0425,anonymous,EN,Yes,Paul,Purple,86,,,,,,,,,,Teletransportation,Female,,White or European,,25,College Graduate (4 year),,A2WO8UOBNNVASX,34400,34400,1
2024-06-27 17:20:52,2024-06-27 17:36:12,IP Address,192.126.140.187,100,920,True,2024-06-27 17:36:13,R_3mPDBS9j52EKzqm,,,,,37.751,-97.822,anonymous,EN,Yes,Paul,Purple,,0,0,518.668,0,"LIVING ROOM,KITCHEN,BEDROOM","These auditory descriptions complement the visual elements of both homes, enhancing the cozy charm of the cottage and the sleek sophistication of the loft.
NONE",IT PERFECT AND WONDERFUL,Two consciousnesses,72,Teletransportation,Female,,White or European,,35,College Graduate (4 year),,ASML73P0NOOVV,NONE,786471,2
2024-06-27 17:22:37,2024-06-27 17:36:28,IP Address,208.196.108.238,100,830,True,2024-06-27 17:36:28,R_6rMRMkkskFq48O3,,,,,35.9875,-84.1168,anonymous,EN,Yes,Paul,Purple,,0,0,470.26,0,Watching phone,Hearing songs,Smelling that what my mom's cook,"Single consciousness, flipping",77,Teletransportation,Female,,White or European,,25,College Graduate (4 year),,A3DOCCXZGMLXGQ,530782,530782,2
2024-06-27 17:29:40,2024-06-27 17:37:28,IP Address,139.171.208.49,100,468,True,2024-06-27 17:37:28,R_3WCi7Bx9rt9681E,,,,,39.0469,-77.4903,anonymous,EN,Yes,Paul,Purple,99,,,,,,,,,,Teletransportation,Female,,White or European,,25,College Graduate (4 year),,A2HOL7DAU8D9XS,292100,292100,1
2024-06-27 17:25:11,2024-06-27 17:39:01,IP Address,192.126.137.230,100,829,True,2024-06-27 17:39:02,R_6cjs3bXmjmAicow,,,,,37.751,-97.822,anonymous,EN,Yes,Paul,Purple,,3.053,4.708,247.606,4,"KITCHEN,BEDROOM,LIVING ROOM","YAH, THAT'S AMAZING.",THAT'S VERY GOOD.,"Single consciousness, split screen",85,Farming,Female,,White or European,,35,College Graduate (4 year),,AETEHCBGMTXTV,NONE,242525,2
2024-06-27 17:25:03,2024-06-27 17:39:54,IP Address,139.171.162.182,100,891,True,2024-06-27 17:39:55,R_3GFXVDgfKud1bCF,,,,,43.1139,-79.0425,anonymous,EN,Yes,Paul,Purple,90,,,,,,,,,,Teletransportation,Female,,White or European,,25,College Graduate (4 year),,A61OCTW3FD9B,220344,220344,1
2024-06-27 17:22:41,2024-06-27 17:39:57,IP Address,154.27.77.100,100,1036,True,2024-06-27 17:39:58,R_1vcvrZ8kMo4rg73,,,,,26.7158,-80.0491,anonymous,EN,Yes,Paul,Purple,,0,0,466.354,0,I saw my Friend is cooking and my relative is sweeping.,"In my friend's house, the clinking of utensils, the faint sizzle of ingredients on a pan, and the occasional hum of kitchen appliances fill the air. My friend, focused on cooking, pauses momentarily, startled by my sudden appearance. And in my relative's house, I materialize in a serene living space, where the rhythmic sound of sweeping echoes faintly against the walls. The gentle swish of the broom as my relative meticulously cleans blends with the ambient sounds of their home.","In my friend's house, the air is infused with a savory aroma, a blend of spices, herbs, and the unmistakable scent of food being prepared. The tantalizing smell of cooking fills the kitchen, carrying hints of garlic, thyme, and a subtle undertone of something sweet caramelizing. In my relative's house, the air here carries a fresh, clean scent with a touch of floral notes. The faint aroma of a freshly swept floor mingles with the gentle fragrance of scented candles or potpourri, enhancing the tranquility of the space.",Two consciousnesses,99,Teletransportation,Female,,White or European,,25,College Graduate (4 year),,ABDBYJZC0RM0M,,154395,2
2024-06-27 17:33:08,2024-06-27 17:42:43,IP Address,209.114.15.132,100,574,True,2024-06-27 17:42:43,R_1sXWqifKN9RXiQp,,,,,37.751,-97.822,anonymous,EN,Yes,Paul,Purple,58,,,,,,,,,,Farming,Male,,White or European,,33,Masters Degree (MS),,A2J0R4SMCX4Q5G,,62641,1
2024-06-27 17:42:33,2024-06-27 17:45:51,IP Address,139.171.162.183,100,198,True,2024-06-27 17:45:52,R_1EhR5hR6RblFXfr,,,,,43.1139,-79.0425,anonymous,EN,Yes,Paul,Purple,89,,,,,,,,,,Teletransportation,Female,,White or European,,25,College Graduate (4 year),,A3BK244YFF1QME,528499,528499,1
2024-06-27 17:41:52,2024-06-27 17:47:26,IP Address,139.171.162.200,100,333,True,2024-06-27 17:47:26,R_1cjaGZL9jyKB80W,,,,,43.1139,-79.0425,anonymous,EN,Yes,Paul,Purple,74,,,,,,,,,,Teletransportation,Female,,White or European,,25,College Graduate (4 year),,A2N8N8GCIRH4HS,474695,474695,1
2024-06-27 17:32:14,2024-06-27 17:49:30,IP Address,208.196.108.108,100,1036,True,2024-06-27 17:49:31,R_62zLaARxLRNmbMd,,,,,35.9875,-84.1168,anonymous,EN,Yes,Paul,Purple,100,,,,,,,,,,Teletransportation,Female,,White or European,,25,High School or Equivalent,,A3OTRE8B8K9W16,"good ",310045,1
2024-06-27 17:42:20,2024-06-27 17:50:47,IP Address,196.51.194.84,100,507,True,2024-06-27 17:50:48,R_3wcyHE47wHouMPf,,,,,39.0469,-77.4903,anonymous,EN,Yes,Paul,Purple,,0,0,71.895,0,In my friend's house I see my friend cooking. In my relative's house I see my relative sweeping.,In my friend's house I hear sound of cutting vegetables and other sounds related to cooking. In my relative house I hear sound of sweeping.,In my friend's house I sense cooking smell. In my relative's house I sense some foul smell of garbage.,"Single consciousness, split screen",87,Teletransportation,Male,,White or European,,32,College Graduate (4 year),,A31BNRJ31R8SV8,,704260,2
2024-06-27 17:42:02,2024-06-27 17:54:15,IP Address,154.9.36.134,100,733,True,2024-06-27 17:54:16,R_5inek08N73faHux,,,,,38.9841,-77.3672,anonymous,EN,Yes,Paul,Purple,,0,0,382.949,0,In my friend's house I see my friend cooking. In my relative house I see my relative sweeping.,In my friend's house I hear sound of cooking like vessel sound and others. In my relative's house I hear sound of sweeping.,In my friend's house I sense smell of cooking a dish. In my relative's house I sense foul smell of garbage.,"Single consciousness, split screen",90,Teletransportation,Male,,White or European,,32,College Graduate (4 year),,A3SRQAFRDSCY05,,637177,2
2024-06-27 17:31:56,2024-06-27 18:11:38,IP Address,139.171.209.69,100,2381,True,2024-06-27 18:11:38,R_116WXoE6A44DSyI,,,,,39.0469,-77.4903,anonymous,EN,Yes,Paul,Purple,,9.381,70.19,427.924,7,I can saw the both house painting as same color,I can hear same songs playing in TV at both house,same like food,Two consciousnesses,65,Teletransportation,Male,,Hispanic or Latino,,33,College Graduate (4 year),,A1QOYLUFHS5ZID,,300503,2
2024-06-27 18:19:06,2024-06-27 18:33:57,IP Address,208.196.108.237,100,890,True,2024-06-27 18:33:58,R_1GvJlrh8Z6Rv21u,,,,,35.9875,-84.1168,anonymous,EN,Yes,Paul,Purple,,0,0,124.067,0,Comfortable furniture arranged around a fireplace,A kitchen with stainless steel appliances and a large island,The rich smell of freshly brewed coffee,"Single consciousness, flipping",42,Teletransportation,Female,,White or European,,25,College Graduate (4 year),,A3UW4FDAQ6M5QH,694319,694319,2
2024-06-27 19:22:56,2024-06-27 19:23:45,IP Address,196.51.197.230,100,48,True,2024-06-27 19:23:45,R_7GreM1rd7OpSTK9,,,,,39.0469,-77.4903,anonymous,EN,Yes,Paul,Purple,63,,,,,,,,,,Teletransportation,Male,,White or European,,33,College Graduate (4 year),,A36ME6S9NKPVDA,81810,81810,1
