"","identity_name","two_or_one","identity_b_original","identity_b_copy","identity_b_neither","identity_b_both","living","persp"
"269","1_original","one",1,0,0,0,"alive","third"
"270","4_both","two",0,0,0,1,"alive","first"
"271","1_original","one",1,0,0,0,"dead","first"
"272","3_neither","neither",0,0,1,0,"dead","first"
"273","1_original","one",1,0,0,0,"alive","third"
"275","2_copy","one",0,1,0,0,"dead","first"
"276","4_both","two",0,0,0,1,"alive","first"
"277","3_neither","neither",0,0,1,0,"dead","first"
"279","1_original","one",1,0,0,0,"dead","third"
"280","4_both","two",0,0,0,1,"dead","third"
"281","4_both","two",0,0,0,1,"dead","first"
"282","1_original","one",1,0,0,0,"alive","third"
"283","1_original","one",1,0,0,0,"alive","third"
"284","4_both","two",0,0,0,1,"dead","third"
"285","2_copy","one",0,1,0,0,"alive","first"
"286","1_original","one",1,0,0,0,"dead","third"
"287","1_original","one",1,0,0,0,"dead","third"
"288","1_original","one",1,0,0,0,"alive","third"
"289","2_copy","one",0,1,0,0,"alive","first"
"290","2_copy","one",0,1,0,0,"alive","first"
"291","1_original","one",1,0,0,0,"dead","first"
"292","4_both","two",0,0,0,1,"alive","third"
"293","4_both","two",0,0,0,1,"alive","first"
"295","1_original","one",1,0,0,0,"alive","third"
"296","2_copy","one",0,1,0,0,"dead","first"
"297","4_both","two",0,0,0,1,"alive","first"
"298","1_original","one",1,0,0,0,"dead","first"
"299","1_original","one",1,0,0,0,"dead","third"
"300","4_both","two",0,0,0,1,"alive","third"
"301","1_original","one",1,0,0,0,"dead","third"
"302","1_original","one",1,0,0,0,"alive","third"
"303","4_both","two",0,0,0,1,"dead","third"
"304","4_both","two",0,0,0,1,"dead","first"
"305","1_original","one",1,0,0,0,"dead","first"
"306","1_original","one",1,0,0,0,"alive","third"
"307","2_copy","one",0,1,0,0,"alive","first"
"308","1_original","one",1,0,0,0,"dead","third"
"309","1_original","one",1,0,0,0,"alive","third"
"310","1_original","one",1,0,0,0,"alive","first"
"312","1_original","one",1,0,0,0,"dead","first"
"314","3_neither","neither",0,0,1,0,"alive","first"
"315","4_both","two",0,0,0,1,"dead","first"
"316","1_original","one",1,0,0,0,"dead","third"
"317","2_copy","one",0,1,0,0,"dead","third"
"319","1_original","one",1,0,0,0,"alive","third"
"320","2_copy","one",0,1,0,0,"alive","first"
"321","1_original","one",1,0,0,0,"dead","third"
"323","2_copy","one",0,1,0,0,"dead","first"
"324","1_original","one",1,0,0,0,"alive","third"
"325","2_copy","one",0,1,0,0,"dead","first"
"326","4_both","two",0,0,0,1,"alive","first"
"327","1_original","one",1,0,0,0,"dead","third"
"328","1_original","one",1,0,0,0,"dead","first"
"329","1_original","one",1,0,0,0,"dead","third"
"330","1_original","one",1,0,0,0,"dead","first"
"332","1_original","one",1,0,0,0,"alive","third"
"333","4_both","two",0,0,0,1,"dead","first"
"334","2_copy","one",0,1,0,0,"dead","first"
"335","1_original","one",1,0,0,0,"alive","third"
"336","4_both","two",0,0,0,1,"alive","first"
"337","2_copy","one",0,1,0,0,"dead","first"
"338","1_original","one",1,0,0,0,"alive","third"
"339","1_original","one",1,0,0,0,"alive","first"
"340","1_original","one",1,0,0,0,"dead","first"
"341","4_both","two",0,0,0,1,"alive","first"
"342","1_original","one",1,0,0,0,"dead","third"
"343","1_original","one",1,0,0,0,"dead","first"
"344","2_copy","one",0,1,0,0,"dead","first"
"345","4_both","two",0,0,0,1,"alive","first"
"346","2_copy","one",0,1,0,0,"alive","first"
"347","1_original","one",1,0,0,0,"alive","first"
"348","1_original","one",1,0,0,0,"dead","first"
"349","1_original","one",1,0,0,0,"alive","third"
"350","1_original","one",1,0,0,0,"alive","third"
"351","1_original","one",1,0,0,0,"dead","third"
"352","4_both","two",0,0,0,1,"alive","first"
"353","1_original","one",1,0,0,0,"alive","third"
"354","2_copy","one",0,1,0,0,"alive","first"
"355","2_copy","one",0,1,0,0,"alive","third"
"356","1_original","one",1,0,0,0,"dead","third"
"357","1_original","one",1,0,0,0,"alive","third"
"359","2_copy","one",0,1,0,0,"alive","first"
"361","2_copy","one",0,1,0,0,"alive","third"
"362","4_both","two",0,0,0,1,"alive","first"
"363","2_copy","one",0,1,0,0,"alive","first"
"364","2_copy","one",0,1,0,0,"dead","first"
"365","2_copy","one",0,1,0,0,"dead","first"
"366","4_both","two",0,0,0,1,"alive","first"
"367","2_copy","one",0,1,0,0,"alive","first"
"368","4_both","two",0,0,0,1,"alive","third"
"369","4_both","two",0,0,0,1,"dead","first"
"370","1_original","one",1,0,0,0,"dead","first"
"371","2_copy","one",0,1,0,0,"alive","first"
"372","2_copy","one",0,1,0,0,"dead","third"
"373","1_original","one",1,0,0,0,"alive","third"
"374","4_both","two",0,0,0,1,"alive","first"
"375","1_original","one",1,0,0,0,"alive","first"
"377","4_both","two",0,0,0,1,"alive","first"
"378","4_both","two",0,0,0,1,"alive","third"
"379","1_original","one",1,0,0,0,"alive","third"
"380","1_original","one",1,0,0,0,"alive","first"
"381","1_original","one",1,0,0,0,"dead","first"
"382","2_copy","one",0,1,0,0,"alive","first"
"383","2_copy","one",0,1,0,0,"dead","third"
"384","1_original","one",1,0,0,0,"dead","third"
"385","4_both","two",0,0,0,1,"alive","first"
"386","4_both","two",0,0,0,1,"dead","first"
"387","4_both","two",0,0,0,1,"alive","first"
"388","1_original","one",1,0,0,0,"dead","third"
"389","1_original","one",1,0,0,0,"dead","third"
"390","1_original","one",1,0,0,0,"alive","first"
"392","4_both","two",0,0,0,1,"alive","first"
"393","1_original","one",1,0,0,0,"alive","third"
"394","1_original","one",1,0,0,0,"dead","third"
"395","1_original","one",1,0,0,0,"alive","first"
"396","1_original","one",1,0,0,0,"alive","third"
"397","4_both","two",0,0,0,1,"alive","first"
"398","1_original","one",1,0,0,0,"dead","third"
"399","3_neither","neither",0,0,1,0,"alive","first"
"400","1_original","one",1,0,0,0,"alive","third"
